2019-11-26 17:45:59.558 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.558 VERB  [1768] [main@149] InGround Pipe 4: Recv: -2079276528% RH, 34 Celsius and 136414224% battery
2019-11-26 17:45:59.558 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.559 VERB  [1768] [main@149] InGround Pipe 4: Recv: 524288% RH, 0 Celsius and 163840% battery
2019-11-26 17:45:59.573 VERB  [1768] [main@149] InGround Pipe 4: Recv: 136414224% RH, 0 Celsius and -2079309304% battery
2019-11-26 17:45:59.575 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 4124 litres and reservoir level is 16
2019-11-26 17:45:59.575 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.575 VERB  [1768] [main@149] InGround Pipe 4: Recv: 2196496% RH, 0 Celsius and 524288% battery
2019-11-26 17:45:59.590 VERB  [1768] [main@149] InGround Pipe 4: Recv: 0% RH, 0 Celsius and 541067264% battery
2019-11-26 17:45:59.590 VERB  [1768] [main@149] InGround Pipe 4: Recv: -2109521856% RH, 0 Celsius and 1107829048% battery
2019-11-26 17:45:59.591 VERB  [1768] [main@149] InGround Pipe 2: Recv: -2079309304% RH, 0 Celsius and 1107829124% battery
2019-11-26 17:45:59.591 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 33920 litres and reservoir level is 33
2019-11-26 17:45:59.591 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 0 litres and reservoir level is 8
2019-11-26 17:45:59.607 VERB  [1768] [main@149] InGround Pipe 4: Recv: 562298884% RH, 0 Celsius and 16904% battery
2019-11-26 17:45:59.607 VERB  [1768] [main@149] InGround Pipe 4: Recv: 16777216% RH, 0 Celsius and 0% battery
2019-11-26 17:45:59.624 VERB  [1768] [main@149] InGround Pipe 2: Recv: -2079292861% RH, 0 Celsius and 562303042% battery
2019-11-26 17:45:59.624 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.624 VERB  [1768] [main@149] InGround Pipe 4: Recv: 268566528% RH, 0 Celsius and 33554432% battery
2019-11-26 17:45:59.640 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.640 VERB  [1768] [main@149] InGround Pipe 2: Recv: -2109536063% RH, 0 Celsius and 948179010% battery
2019-11-26 17:45:59.641 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.641 VERB  [1768] [main@149] InGround Pipe 4: Recv: 8% RH, 0 Celsius and 0% battery
2019-11-26 17:45:59.657 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.657 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.657 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.657 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.658 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.658 VERB  [1768] [main@149] InGround Pipe 4: Recv: 134744072% RH, 0 Celsius and 134744072% battery
2019-11-26 17:45:59.658 VERB  [1768] [main@149] InGround Pipe 4: Recv: 1081083912% RH, 3 Celsius and 1077952576% battery
2019-11-26 17:45:59.658 VERB  [1768] [main@149] InGround Pipe 4: Recv: 35750928% RH, 0 Celsius and -2147483648% battery
2019-11-26 17:45:59.675 VERB  [1768] [main@149] InGround Pipe 2: Recv: 270287368% RH, 0 Celsius and 562303170% battery
2019-11-26 17:45:59.675 VERB  [1768] [main@137] ControllerHub Pipe 1: Recv: 8580 litres and reservoir level is 8
2019-11-26 17:45:59.675 VERB  [1768] [main@149] InGround Pipe 4: Recv: 0% RH, 0 Celsius and 0% battery
